	date	area_code	avgTemp	highTemp	lowTemp	rainProb	weather
0	2023-11-28	0	10.083333333333334	15	7	0	4
1	2023-11-29	0	10.583333333333334	15	7	30	4
2	2023-11-30	0	7.5	9	6	30	4
3	2023-12-01	0	7.25	11	5	30	4
4	2023-12-02	0	9.5	12	7	30	4
5	2023-12-03	0	11.5	14	9	20	1
6	2023-12-04	0	12.0	16	8	30	4
7	2023-12-06	0	12.0	14	10	40	4
8	2023-12-07	0	11.5	14	9	20	1
9	2023-11-28	1	9.583333333333334	13	7	0	4
10	2023-11-29	1	10.541666666666666	14	8	30	4
11	2023-11-30	1	7.333333333333333	9	6	60	4
12	2023-12-01	1	7.666666666666667	10	6	30	4
13	2023-12-02	1	9.5	12	7	30	4
14	2023-12-03	1	11.5	14	9	20	1
15	2023-12-04	1	12.0	16	8	30	4
16	2023-12-06	1	12.0	14	10	40	4
17	2023-12-07	1	11.5	14	9	20	1
18	2023-11-28	2	9.916666666666666	12	8	0	4
19	2023-11-29	2	10.5	13	8	30	4
20	2023-11-30	2	7.416666666666667	10	6	30	4
21	2023-12-01	2	8.041666666666666	9	7	60	4
22	2023-12-02	2	9.0	13	5	30	4
23	2023-12-03	2	10.0	14	6	20	1
24	2023-12-04	2	11.0	16	6	30	4
25	2023-12-06	2	11.0	14	8	40	4
26	2023-12-07	2	10.5	14	7	20	1
27	2023-11-28	3	10.166666666666666	13	8	0	4
28	2023-11-29	3	10.916666666666666	14	8	30	4
29	2023-11-30	3	7.625	9	6	30	4
30	2023-12-01	3	7.75	10	6	30	4
31	2023-12-02	3	9.5	12	7	30	4
32	2023-12-03	3	11.5	14	9	20	1
33	2023-12-04	3	12.0	16	8	30	4
34	2023-12-06	3	12.0	14	10	40	4
35	2023-12-07	3	11.5	14	9	20	1
36	2023-11-28	4	9.583333333333334	13	7	0	4
37	2023-11-29	4	10.458333333333334	14	7	30	4
38	2023-11-30	4	7.458333333333333	10	6	30	4
39	2023-12-01	4	7.625	10	6	30	4
40	2023-12-02	4	9.0	13	5	30	4
41	2023-12-03	4	10.0	14	6	20	1
42	2023-12-04	4	11.0	16	6	30	4
43	2023-12-06	4	11.0	14	8	40	4
44	2023-12-07	4	10.5	14	7	20	1
45	2023-11-28	5	11.833333333333334	16	9	0	4
46	2023-11-29	5	12.5	16	9	30	4
47	2023-11-30	5	9.833333333333334	12	8	30	4
48	2023-12-01	5	9.041666666666666	12	7	30	4
49	2023-12-02	5	9.5	12	7	30	4
50	2023-12-03	5	11.5	14	9	20	1
51	2023-12-04	5	12.0	16	8	30	4
52	2023-12-06	5	12.0	14	10	40	4
53	2023-12-07	5	11.5	14	9	20	1
54	2023-11-28	6	8.833333333333334	12	6	0	4
55	2023-11-29	6	9.375	13	6	30	4
56	2023-11-30	6	6.708333333333333	9	5	30	4
57	2023-12-01	6	7.166666666666667	9	6	60	4
58	2023-12-02	6	9.0	13	5	30	4
59	2023-12-03	6	10.0	14	6	20	1
60	2023-12-04	6	11.0	16	6	30	4
61	2023-12-06	6	11.0	14	8	40	4
62	2023-12-07	6	10.5	14	7	20	1
63	2023-11-28	7	9.5	12	7	0	4
64	2023-11-29	7	10.083333333333334	13	8	30	4
65	2023-11-30	7	7.0	9	6	60	4
66	2023-12-01	7	7.958333333333333	9	6	60	4
67	2023-12-02	7	9.5	12	7	30	4
68	2023-12-03	7	11.5	14	9	20	1
69	2023-12-04	7	12.0	16	8	30	4
70	2023-12-06	7	12.0	14	10	40	4
71	2023-12-07	7	11.5	14	9	20	1
72	2023-11-28	8	9.5	11	8	0	4
73	2023-11-29	8	10.375	13	8	30	4
74	2023-11-30	8	6.958333333333333	9	6	60	4
75	2023-12-01	8	7.875	9	7	60	4
76	2023-12-02	8	9.5	12	7	30	4
77	2023-12-03	8	11.5	14	9	20	1
78	2023-12-04	8	12.0	16	8	30	4
79	2023-12-06	8	12.0	14	10	40	4
80	2023-12-07	8	11.5	14	9	20	1
81	2023-11-28	9	10.583333333333334	12	8	20	4
82	2023-11-29	9	11.125	13	9	30	4
83	2023-11-30	9	7.666666666666667	10	6	60	4
84	2023-12-01	9	8.125	9	7	60	4
85	2023-12-02	9	10.0	12	8	30	4
86	2023-12-03	9	11.0	13	9	20	1
87	2023-12-04	9	12.0	15	9	30	4
88	2023-12-06	9	11.5	13	10	40	4
89	2023-12-07	9	12.0	14	10	20	1
90	2023-11-28	10	9.833333333333334	12	7	0	4
91	2023-11-29	10	10.375	13	7	30	4
92	2023-11-30	10	7.125	9	6	60	4
93	2023-12-01	10	7.833333333333333	9	7	60	4
94	2023-12-02	10	10.0	12	8	30	4
95	2023-12-03	10	11.0	13	9	20	1
96	2023-12-04	10	12.0	15	9	30	4
97	2023-12-06	10	11.5	13	10	40	4
98	2023-12-07	10	12.0	14	10	20	1
99	2023-11-28	11	10.5	13	9	0	4
100	2023-11-29	11	10.875	14	9	30	4
101	2023-11-30	11	7.583333333333333	9	7	60	4
102	2023-12-01	11	8.0	9	7	60	4
103	2023-12-02	11	9.5	12	7	30	4
104	2023-12-03	11	11.5	14	9	20	1
105	2023-12-04	11	12.0	16	8	30	4
106	2023-12-06	11	12.0	14	10	40	4
107	2023-12-07	11	11.5	14	9	20	1
